"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-06-23","lesiones dolosas","na","na","no disponible","jocotepec","50","5:30","la vida y la integridad corporal","interior"
"2017-06-05","robo a vehiculos particulares","na","na","no disponible","chapala","30","5:30","el patrimonio","interior"
"2017-07-17","robo a negocio","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-07-13","violencia familiar","na","na","no disponible","jocotepec","50","17:45","la familia","interior"
"2017-07-17","robo a negocio","na","na","no disponible","chapala","30","5:30","el patrimonio","interior"
"2017-07-28","lesiones dolosas","na","na","no disponible","mazamitla","59","17:45","la vida y la integridad corporal","interior"
"2017-07-03","lesiones dolosas","na","na","no disponible","chapala","30","17:45","la vida y la integridad corporal","interior"
"2017-07-14","robo a vehiculos particulares","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-07-26","lesiones dolosas","na","na","no disponible","tuxcueca","107","5:30","la vida y la integridad corporal","interior"
"2017-07-11","robo casa habitacion","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-07-28","robo casa habitacion","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-07-17","robo casa habitacion","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-07-03","robo a persona","na","na","no disponible","jocotepec","50","17:45","el patrimonio","interior"
"2017-08-07","robo a negocio","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-08-10","robo a persona","na","na","no disponible","tizapan el alto","96","5:30","el patrimonio","interior"
"2017-08-21","violencia familiar","na","na","no disponible","chapala","30","5:30","la familia","interior"
"2017-08-03","abuso sexual infantil","na","na","no disponible","jocotepec","50","17:45","la libertad y la seguridad sexual","interior"
"2017-08-31","robo a negocio","na","na","no disponible","chapala","30","5:30","el patrimonio","interior"
"2017-08-28","robo a vehiculos particulares","na","na","no disponible","chapala","30","5:30","el patrimonio","interior"
"2017-09-19","robo a persona","na","na","no disponible","jocotepec","50","17:45","el patrimonio","interior"
"2017-09-23","robo a vehiculos particulares","na","na","no disponible","jocotepec","50","17:45","el patrimonio","interior"
"2017-09-16","robo a vehiculos particulares","na","na","no disponible","chapala","30","5:30","el patrimonio","interior"
"2017-09-23","abuso sexual infantil","na","na","no disponible","jocotepec","50","5:30","la libertad y la seguridad sexual","interior"
"2017-10-17","violacion","na","na","no disponible","chapala","30","5:30","la libertad y la seguridad sexual","interior"
"2017-10-30","robo a vehiculos particulares","na","na","no disponible","jocotepec","50","17:45","el patrimonio","interior"
"2017-10-18","robo a persona","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-10-11","robo a persona","na","na","no disponible","chapala","30","5:30","el patrimonio","interior"
"2017-10-04","robo a vehiculos particulares","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-10-21","robo a vehiculos particulares","na","na","no disponible","tizapan el alto","96","5:30","el patrimonio","interior"
