"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica","ID_municipio_unico"
"2017-01-10","Robo de motocicleta",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","El patrimonio","Interior","MUN073"
"2017-01-13","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-02-07","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-02-27","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Diego de Alejandría",72,"17:45","El patrimonio","Interior","MUN072"
"2017-02-07","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","La vida y la integridad corporal","Interior","MUN053"
"2017-02-15","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Encarnación de Díaz",35,"5:30","El patrimonio","Interior","MUN035"
"2017-02-13","Lesiones dolosas",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","La vida y la integridad corporal","Interior","MUN073"
"2017-02-10","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","El patrimonio","Interior","MUN073"
"2017-02-16","Robo a casa habitación",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"17:45","El patrimonio","Interior","MUN073"
"2017-02-08","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-02-13","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-02-09","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La vida y la integridad corporal","Interior","MUN053"
"2017-02-08","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-02-13","Lesiones dolosas",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","La vida y la integridad corporal","Interior","MUN073"
"2017-02-27","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-02-12","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Teocaltiche",91,"17:45","El patrimonio","Interior","MUN091"
"2017-02-01","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La vida y la integridad corporal","Interior","MUN053"
"2017-02-13","Robo a carga pesada",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","El patrimonio","Interior","MUN073"
"2017-02-22","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-03-06","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-03-28","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-03-06","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La vida y la integridad corporal","Interior","MUN053"
"2017-03-07","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-03-17","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-03-21","Violencia familiar",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","La familia","Interior","MUN053"
"2017-03-30","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-03-09","Robo a casa habitación",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","El patrimonio","Interior","MUN073"
"2017-03-03","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","La vida y la integridad corporal","Interior","MUN053"
"2017-03-17","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-03-27","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-03-17","Robo a negocio",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"17:45","El patrimonio","Interior","MUN073"
"2017-03-03","Robo a negocio",NA,NA,"NO DISPONIBLE","Encarnación de Díaz",35,"5:30","El patrimonio","Interior","MUN035"
"2017-03-01","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"17:45","El patrimonio","Interior","MUN073"
"2017-03-30","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La vida y la integridad corporal","Interior","MUN053"
"2017-03-01","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-03-08","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-03-28","Robo a persona",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-03-22","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","El patrimonio","Interior","MUN073"
"2017-03-01","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-03-07","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Teocaltiche",91,"17:45","La vida y la integridad corporal","Interior","MUN091"
"2017-03-01","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Teocaltiche",91,"5:30","La vida y la integridad corporal","Interior","MUN091"
"2017-03-14","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"17:45","El patrimonio","Interior","MUN073"
"2017-03-21","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-03-23","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-03-05","Violencia familiar",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La familia","Interior","MUN053"
"2017-03-27","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Ojuelos de Jalisco",64,"17:45","La vida y la integridad corporal","Interior","MUN064"
"2017-03-04","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Ojuelos de Jalisco",64,"5:30","El patrimonio","Interior","MUN064"
"2017-03-04","Robo a negocio",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-03-10","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-03-22","Robo a casa habitación",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","El patrimonio","Interior","MUN073"
"2017-03-24","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Ojuelos de Jalisco",64,"17:45","La vida y la integridad corporal","Interior","MUN064"
"2017-03-01","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-03-21","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Ojuelos de Jalisco",64,"5:30","El patrimonio","Interior","MUN064"
"2017-03-29","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La vida y la integridad corporal","Interior","MUN053"
"2017-03-30","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-03-02","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La vida y la integridad corporal","Interior","MUN053"
"2017-03-30","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Encarnación de Díaz",35,"5:30","El patrimonio","Interior","MUN035"
"2017-04-29","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-04-07","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","El patrimonio","Interior","MUN073"
"2017-04-18","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Encarnación de Díaz",35,"5:30","La vida y la integridad corporal","Interior","MUN035"
"2017-04-07","Robo a carga pesada",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-04-04","Violencia familiar",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La familia","Interior","MUN053"
"2017-04-10","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","La vida y la integridad corporal","Interior","MUN053"
"2017-04-03","Robo a persona",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-04-17","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-04-18","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Encarnación de Díaz",35,"17:45","La vida y la integridad corporal","Interior","MUN035"
"2017-04-05","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
