"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica","ID_municipio_unico"
"2017-05-02","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Mazamitla",59,"5:30","La vida y la integridad corporal","Interior","MUN059"
"2017-05-19","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Mazamitla",59,"5:30","El patrimonio","Interior","MUN059"
"2017-05-20","Violencia familiar",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","La familia","Interior","MUN030"
"2017-05-29","Violencia familiar",NA,NA,"NO DISPONIBLE","Tizapán el Alto",96,"17:45","La familia","Interior","MUN096"
"2017-05-04","Robo casa habitación",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-05-27","Violencia familiar",NA,NA,"NO DISPONIBLE","Tizapán el Alto",96,"17:45","La familia","Interior","MUN096"
"2017-06-09","Robo casa habitación",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-06-14","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Tizapán el Alto",96,"17:45","La vida y la integridad corporal","Interior","MUN096"
"2017-06-19","Robo casa habitación",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-06-19","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Mazamitla",59,"5:30","La vida y la integridad corporal","Interior","MUN059"
"2017-06-14","Robo a negocio",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","El patrimonio","Interior","MUN030"
"2017-06-29","Robo casa habitación",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-06-23","Robo a persona",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-06-26","Violencia familiar",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","La familia","Interior","MUN030"
"2017-06-26","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","El patrimonio","Interior","MUN030"
"2017-06-23","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Jocotepec",50,"5:30","La vida y la integridad corporal","Interior","MUN050"
"2017-06-05","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","El patrimonio","Interior","MUN030"
"2017-07-17","Robo a negocio",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-07-13","Violencia familiar",NA,NA,"NO DISPONIBLE","Jocotepec",50,"17:45","La familia","Interior","MUN050"
"2017-07-17","Robo a negocio",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","El patrimonio","Interior","MUN030"
