"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica","ID_municipio_unico"
"2019-08-05","Robo a casa habitación",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"N.D.","El patrimonio","Interior","ENT14MUN077"
"2019-11-05","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Teocuitatlán de Corona",92,"N.D.","El patrimonio","Interior","ENT14MUN092"
"2019-12-03","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Teocuitatlán de Corona",92,"13:20","El patrimonio","Interior","ENT14MUN092"
"2019-04-19","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Acatlán de Juárez",2,"N.D.","El patrimonio","Interior","ENT14MUN002"
"2019-09-17","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Atemajac de Brizuela",10,"15:00","El patrimonio","Interior","ENT14MUN010"
"2019-04-16","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Cocula",24,"N.D.","El patrimonio","Interior","ENT14MUN024"
"2019-05-20","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Cocula",24,"N.D.","El patrimonio","Interior","ENT14MUN024"
"2019-08-29","Violación",NA,NA,"NO DISPONIBLE","Zacoalco de Torres",119,"N.D.","La libertad y la seguridad sexual","Interior","ENT14MUN119"
"2019-02-05","Violencia familiar",NA,NA,"NO DISPONIBLE","Zacoalco de Torres",119,"N.D.","La familia","Interior","ENT14MUN119"
"2019-04-12","Violencia familiar",NA,NA,"NO DISPONIBLE","Zacoalco de Torres",119,"N.D.","La familia","Interior","ENT14MUN119"
"2019-05-30","Violencia familiar",NA,NA,"NO DISPONIBLE","Villa Corona",114,"N.D.","La familia","Interior","ENT14MUN114"
"2019-07-18","Violencia familiar",NA,NA,"NO DISPONIBLE","Acatlán de Juárez",2,"N.D.","La familia","Interior","ENT14MUN002"
"2019-07-18","Violencia familiar",NA,NA,"NO DISPONIBLE","Acatlán de Juárez",2,"N.D.","La familia","Interior","ENT14MUN002"
"2019-07-08","Violencia familiar",NA,NA,"NO DISPONIBLE","Cocula",24,"N.D.","La familia","Interior","ENT14MUN024"
"2019-09-04","Violencia familiar",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"N.D.","La familia","Interior","ENT14MUN077"
"2019-09-26","Violencia familiar",NA,NA,"NO DISPONIBLE","Cocula",24,"N.D.","La familia","Interior","ENT14MUN024"
"2019-10-07","Violencia familiar",NA,NA,"NO DISPONIBLE","Zacoalco de Torres",119,"N.D.","La familia","Interior","ENT14MUN119"
"2019-10-29","Violencia familiar",NA,NA,"NO DISPONIBLE","Zacoalco de Torres",119,"N.D.","La familia","Interior","ENT14MUN119"
"2020-02-19","Abuso sexual infantil",-103.66272228645924,20.412244174484766,"VILLA CORONA CENTRO","Villa Corona",114,"N.D.","La libertad y la seguridad sexual","Interior","ENT14MUN114"
"2020-05-16","Abuso sexual infantil",-103.56983326640817,20.34910945416132,"SAN JOSE DE LOS POZOS","Acatlán de Juárez",2,"N.D.","La libertad y la seguridad sexual","Interior","ENT14MUN002"
"2020-09-25","Abuso sexual infantil",-103.93190013709702,20.433830787164194,"CENTRO","San Martín Hidalgo",77,"11:30","La libertad y la seguridad sexual","Interior","ENT14MUN077"
"2020-10-13","Abuso sexual infantil",-103.8246943189351,20.37212620119571,"RINCONADA","Cocula",24,"N.D.","La libertad y la seguridad sexual","Interior","ENT14MUN024"
"2020-11-05","Abuso sexual infantil",-103.82128086222507,20.3571855968562,"LA ASCENCION","Cocula",24,"N.D.","La libertad y la seguridad sexual","Interior","ENT14MUN024"
"2020-11-07","Abuso sexual infantil",-103.818264380988,20.35489261561149,"LA ASCENCION","Cocula",24,"04:30","La libertad y la seguridad sexual","Interior","ENT14MUN024"
"2020-11-12","Abuso sexual infantil",-103.82771829522888,20.370839008124918,"RINCONADA","Cocula",24,"N.D.","La libertad y la seguridad sexual","Interior","ENT14MUN024"
"2020-01-08","Abuso sexual infantil",-103.93650674968748,20.436948581752148,"CENTRO","San Martín Hidalgo",77,"N.D.","La libertad y la seguridad sexual","Interior","ENT14MUN077"
"2020-04-09","Abuso sexual infantil",-103.81951595112267,20.468583004693947,"SAN NICOLAS","Cocula",24,"N.D.","La libertad y la seguridad sexual","Interior","ENT14MUN024"
"2020-04-16","Abuso sexual infantil",-103.92758719856039,20.431412932338414,"CENTRO","San Martín Hidalgo",77,"13:00","La libertad y la seguridad sexual","Interior","ENT14MUN077"
"2020-04-20","Abuso sexual infantil",-103.91163288800274,20.431023392854513,"EL TEPEHUAJE DE MORELOS","San Martín Hidalgo",77,"18:00","La libertad y la seguridad sexual","Interior","ENT14MUN077"
"2020-05-04","Abuso sexual infantil",-103.82308610102406,20.373391518495918,"RINCONADA","Cocula",24,"N.D.","La libertad y la seguridad sexual","Interior","ENT14MUN024"
"2020-07-28","Abuso sexual infantil",-103.815208915026,20.37370638268689,"LA CRUZ","Cocula",24,"08:00","La libertad y la seguridad sexual","Interior","ENT14MUN024"
