fecha,delito,x,y,colonia,municipio,clave_mun,hora,bien_afectado,zona_geografica,ID_municipio_unico
28/06/2017,Lesiones dolosas,-103.667695,20.414405,MERCED SEDANO,Villa Corona,114,05:30,La vida y la integridad corporal,Interior,ENT14MUN114
05/06/2017,Lesiones dolosas,-103.546101,19.873498,USMAJAC,Sayula,82,17:45,La vida y la integridad corporal,Interior,ENT14MUN082
29/06/2017,Robo a casa habitación,-103.863306,20.379649,LA LOMA II,San Martín Hidalgo,77,05:30,El patrimonio,Interior,ENT14MUN077
15/06/2017,Robo a negocio,-103.559189,20.222358,DE LOS CASTILLO,Zacoalco de Torres,119,17:45,El patrimonio,Interior,ENT14MUN119
12/06/2017,Robo a vehículos particulares,-103.848764,20.56656,BUENAVISTA,San Martín Hidalgo,77,17:45,El patrimonio,Interior,ENT14MUN077
16/06/2017,Abuso sexual infantil,-103.570532,20.228389,ZACOALCO DE TORRES CENTRO,Zacoalco de Torres,119,17:45,La libertad y la seguridad sexual,Interior,ENT14MUN119
19/06/2017,Lesiones dolosas,-103.819516,20.468583,SAN NICOLAS,Cocula,24,05:30,La vida y la integridad corporal,Interior,ENT14MUN024
16/06/2017,Robo a vehículos particulares,-103.824898,20.366022,CENTRO,Cocula,24,05:30,El patrimonio,Interior,ENT14MUN024
22/06/2017,Lesiones dolosas,-103.642408,19.992292,TEPEC,Amacueca,4,17:45,La vida y la integridad corporal,Interior,ENT14MUN004
12/07/2017,Lesiones dolosas,-103.830892,20.364829,SAN PEDRO,Cocula,24,17:45,La vida y la integridad corporal,Interior,ENT14MUN024
28/07/2017,Robo a negocio,-103.663573,20.414379,VILLA CORONA CENTRO,Villa Corona,114,05:30,El patrimonio,Interior,ENT14MUN114
13/07/2017,Robo a vehículos particulares,-103.769872,20.409247,LA COFRADIA (LA COFRADIA DE LA LUZ),Cocula,24,17:45,El patrimonio,Interior,ENT14MUN024
28/07/2017,Robo a persona,-103.598116,20.423441,ACATLAN DE JUAREZ,Acatlán de Juárez,2,05:30,El patrimonio,Interior,ENT14MUN002
04/07/2017,Violencia familiar,-103.572434,20.215707,ALTO,Zacoalco de Torres,119,17:45,La familia,Interior,ENT14MUN119
12/07/2017,Lesiones dolosas,-103.600097,19.884275,CENTRO HISTORICO,Sayula,82,05:30,La vida y la integridad corporal,Interior,ENT14MUN082
13/07/2017,Robo a vehículos particulares,-103.596306,20.418592,LOS GRANADOS,Acatlán de Juárez,2,17:45,El patrimonio,Interior,ENT14MUN002
