"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2022-04-29","Abuso sexual infantil",-102.52301312707431,20.525097191388674,"PASCUAL ROJAS","Atotonilco el Alto",13,"21:30","La libertad y la seguridad sexual","Interior"
"2022-05-12","Abuso sexual infantil",-102.76885550478528,20.36929576987741,"PASO BLANCO","Ocotlán",63,"11:00","La libertad y la seguridad sexual","Interior"
"2022-05-13","Abuso sexual infantil",-102.12820742606964,20.446587989417246,"SANTA CECILIA","Degollado",33,"15:00","La libertad y la seguridad sexual","Interior"
"2022-05-16","Abuso sexual infantil",-102.55141217422376,20.540189282245553,"EL NACIMIENTO","Atotonilco el Alto",13,"N.D.","La libertad y la seguridad sexual","Interior"
"2022-05-20","Abuso sexual infantil",-102.79298789133014,20.542576423348663,"CENTRO","Tototlán",105,"23:00","La libertad y la seguridad sexual","Interior"
"2022-05-26","Abuso sexual infantil",-102.7836536099623,20.3455798560095,"ANAHUAC","Poncitlán",66,"N.D.","La libertad y la seguridad sexual","Interior"
"2022-05-30","Abuso sexual infantil",-102.53245126314097,20.53697254752827,"NO DISPONIBLE","Atotonilco el Alto",13,"N.D.","La libertad y la seguridad sexual","Interior"
"2022-05-30","Abuso sexual infantil",-102.14008018413628,20.452340137600764,"SAN GABRIEL","Degollado",33,"21:30","La libertad y la seguridad sexual","Interior"
"2022-06-08","Abuso sexual infantil",-102.75588117592024,20.332797316107936,"LAZARO CARDENAS","Ocotlán",63,"16:00","La libertad y la seguridad sexual","Interior"
"2022-06-09","Abuso sexual infantil",-102.52204095179565,20.417241737444073,"PORTEZUELO","La Barca",18,"13:00","La libertad y la seguridad sexual","Interior"
"2022-06-17","Abuso sexual infantil",-102.43578831119468,20.514591939571353,"EL REFUGIO DE LOS BAJOS","Atotonilco el Alto",13,"08:00","La libertad y la seguridad sexual","Interior"
"2022-06-20","Abuso sexual infantil",-102.54025445210192,20.283270928884576,"EJIDAL","La Barca",18,"00:00","La libertad y la seguridad sexual","Interior"
"2022-06-21","Abuso sexual infantil",-102.36884841267018,20.491758327163108,"NO DISPONIBLE","Ayotlán",16,"15:00","La libertad y la seguridad sexual","Interior"
"2022-06-27","Abuso sexual infantil",-102.77758561815901,20.336415445196977,"TORRECILLAS","Ocotlán",63,"17:00","La libertad y la seguridad sexual","Interior"
"2022-07-02","Abuso sexual infantil",-102.55969648825332,20.27912332927421,"LAS LOMAS","La Barca",18,"21:00","La libertad y la seguridad sexual","Interior"
"2022-07-05","Abuso sexual infantil",-103.022740856448,20.334154969700766,"MEZCALA DE LA ASUNCION","Poncitlán",66,"23:00","La libertad y la seguridad sexual","Interior"
"2022-07-05","Abuso sexual infantil",-102.39134548624374,20.579250709068138,"NO DISPONIBLE","Ayotlán",16,"18:40","La libertad y la seguridad sexual","Interior"
"2022-07-21","Abuso sexual infantil",-102.58161240540568,20.545633833924093,"NO DISPONIBLE","Atotonilco el Alto",13,"16:30","La libertad y la seguridad sexual","Interior"
"2022-07-22","Abuso sexual infantil",-102.76043059716103,20.358710366110802,"SAN JUAN","Ocotlán",63,"19:20","La libertad y la seguridad sexual","Interior"
"2022-08-03","Abuso sexual infantil",-102.7753894861411,20.310942146824942,"EL RAICERO","Ocotlán",63,"12:00","La libertad y la seguridad sexual","Interior"
"2022-08-06","Abuso sexual infantil",-102.71060725824061,20.294510405875428,"CENTRO","Jamay",47,"07:00","La libertad y la seguridad sexual","Interior"
"2022-08-15","Abuso sexual infantil",-102.75898826826432,20.33344110295272,"LAZARO CARDENAS","Ocotlán",63,"06:12","La libertad y la seguridad sexual","Interior"
"2022-08-30","Abuso sexual infantil",-102.92667562494788,20.39052114345272,"SANTIAGO TOTOLIMIXPAN","Zapotlán del Rey",123,"20:07","La libertad y la seguridad sexual","Interior"
"2022-08-31","Abuso sexual infantil",-102.7793600159597,20.35949696412209,"FLORIDA","Ocotlán",63,"17:30","La libertad y la seguridad sexual","Interior"
"2022-09-15","Abuso sexual infantil",-102.77911158359908,20.35639387295784,"SAN VICENTE","Ocotlán",63,"18:00","La libertad y la seguridad sexual","Interior"
"2022-09-17","Abuso sexual infantil",-102.74279685145092,20.3397774293018,"SAN ANDRES","Ocotlán",63,"20:00","La libertad y la seguridad sexual","Interior"
"2022-09-21","Abuso sexual infantil",-102.95225504158572,20.317544428037298,"SAN PEDRO ITZICAN","Poncitlán",66,"09:30","La libertad y la seguridad sexual","Interior"
"2022-09-21","Abuso sexual infantil",-102.63194250313015,20.28739680835908,"SAN AGUSTIN","Jamay",47,"12:00","La libertad y la seguridad sexual","Interior"
"2022-09-23","Abuso sexual infantil",-102.78453723578282,20.34051088839321,"DE GUADALUPE","Poncitlán",66,"21:00","La libertad y la seguridad sexual","Interior"
"2022-09-28","Abuso sexual infantil",-102.134511457867,20.446116728144222,"CENTRO","Degollado",33,"14:50","La libertad y la seguridad sexual","Interior"
"2022-10-09","Abuso sexual infantil",-102.75707699192034,20.354525889701478,"SAN JUAN","Ocotlán",63,"11:00","La libertad y la seguridad sexual","Interior"
