"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica","ID_municipio_unico"
"2021-05-26","Violencia familiar",-103.30085015152792,19.680736410117024,"ARROYO HONDO","Tamazula de Gordiano",85,"N.D.","La familia","Interior","MUN085"
"2021-05-28","Violencia familiar",-103.45802054803818,19.726969488878943,"JOSE MARIA MORELOS","Zapotlán el Grande",23,"18:15","La familia","Interior","MUN023"
"2021-06-01","Violencia familiar",-103.45914238704903,19.719959525500116,"LOMA BONITA","Zapotlán el Grande",23,"21:00","La familia","Interior","MUN023"
"2021-06-03","Violencia familiar",-103.40457344178223,19.670385377961622,"EL RINCON","Zapotiltic",121,"23:36","La familia","Interior","MUN121"
"2021-06-04","Violencia familiar",-103.44538945162957,19.636779842928195,"HUESCALAPA","Zapotiltic",121,"19:35","La familia","Interior","MUN121"
"2021-06-04","Violencia familiar",-103.4177885951711,19.63350603833087,"LAZARO CARDENAS","Zapotiltic",121,"02:10","La familia","Interior","MUN121"
"2021-06-05","Violencia familiar",-103.46197962609614,19.708408928529337,"CIUDAD GUZMAN CENTRO","Zapotlán el Grande",23,"N.D.","La familia","Interior","MUN023"
"2021-06-07","Violencia familiar",-103.46034085762818,19.68983399559421,"ARBOLEDAS","Zapotlán el Grande",23,"N.D.","La familia","Interior","MUN023"
"2021-06-08","Violencia familiar",-103.48080497724972,19.71126369567833,"ANTONIO GANDARA ESTRADA","Zapotlán el Grande",23,"23:30","La familia","Interior","MUN023"
"2021-06-08","Violencia familiar",-103.424178892889,19.632147081232326,"LAZARO CARDENAS","Zapotiltic",121,"20:30","La familia","Interior","MUN121"
"2021-06-08","Violencia familiar",-103.47771070521715,19.805710740553998,"IPROVIPE","Gómez Farías",79,"23:40","La familia","Interior","MUN079"
"2021-06-08","Violencia familiar",-103.46876442205378,19.684765646321072,"FRANCISCO I MADERO","Zapotlán el Grande",23,"09:00","La familia","Interior","MUN023"
"2021-06-10","Violencia familiar",-103.46794066578605,19.69972273344672,"CIUDAD GUZMAN CENTRO","Zapotlán el Grande",23,"N.D.","La familia","Interior","MUN023"
"2021-06-12","Violencia familiar",-103.40079089406024,19.667348485607974,"EL RINCON","Zapotiltic",121,"N.D.","La familia","Interior","MUN121"
"2021-06-13","Violencia familiar",-103.47890843301028,19.692895609412204,"CONSTITUYENTES","Zapotlán el Grande",23,"07:55","La familia","Interior","MUN023"
"2021-06-16","Violencia familiar",-103.25024070080748,19.66374792448324,"LOS NARANJITOS","Tamazula de Gordiano",85,"22:00","La familia","Interior","MUN085"
"2021-06-17","Violencia familiar",-103.37781958513693,19.55769555783135,"TUXPAN","Tuxpan",108,"12:00","La familia","Interior","MUN108"
"2021-06-18","Violencia familiar",-103.40326599061027,19.668587255282144,"EL RINCON","Zapotiltic",121,"14:00","La familia","Interior","MUN121"
"2021-06-18","Violencia familiar",-103.47329441209284,19.716599970989613,"SENDEROS SAN MIGUEL","Zapotlán el Grande",23,"21:30","La familia","Interior","MUN023"
"2021-06-22","Violencia familiar",-103.47359066417039,19.705600539406905,"16 DE SEPTIEMBRE","Zapotlán el Grande",23,"10:00","La familia","Interior","MUN023"
"2021-01-18","Violencia familiar",-103.29961850073263,19.68260347469684,"NO DISPONIBLE","Tamazula de Gordiano",85,"21:30","La familia","Interior","MUN085"
"2021-06-30","Violencia familiar",-103.46541069908385,19.70461560241093,"CIUDAD GUZMAN CENTRO","Zapotlán el Grande",23,"N.D.","La familia","Interior","MUN023"
"2021-07-01","Violencia familiar",-103.37715373109818,19.55179382354236,"TUXPAN","Tuxpan",108,"22:30","La familia","Interior","MUN108"
"2021-01-18","Violencia familiar",-103.7796637815831,19.780216222213042,"JIQUILPAN","San Gabriel",113,"N.D.","La familia","Interior","MUN113"
"2021-07-02","Violencia familiar",-103.46588122904032,19.697178814069844,"SAN PEDRO","Zapotlán el Grande",23,"16:30","La familia","Interior","MUN023"
"2021-07-02","Violencia familiar",-103.38149196797033,19.25618515027054,"PIHUAMO","Pihuamo",65,"N.D.","La familia","Interior","MUN065"
"2021-07-05","Violencia familiar",-103.4595428261602,19.713686407508124,"CIUDAD GUZMAN CENTRO","Zapotlán el Grande",23,"00:30","La familia","Interior","MUN023"
"2021-07-05","Violencia familiar",-103.45634307430392,19.72859037410352,"LAS AMERICAS","Zapotlán el Grande",23,"11:30","La familia","Interior","MUN023"
"2021-01-19","Violencia familiar",-103.46390573590466,19.716742041225316,"CIUDAD GUZMAN CENTRO","Zapotlán el Grande",23,"19:36","La familia","Interior","MUN023"
"2021-07-09","Violencia familiar",-103.41451786483874,19.63105490907398,"LA GUADALUPANA","Zapotiltic",121,"12:00","La familia","Interior","MUN121"
"2021-01-19","Violencia familiar",-103.47689721679652,19.820846274068117,"SAN ISIDRO","Gómez Farías",79,"20:30","La familia","Interior","MUN079"
"2021-07-09","Violencia familiar",-103.47670339961951,19.68774998805948,"CONSTITUYENTES","Zapotlán el Grande",23,"12:45","La familia","Interior","MUN023"
"2021-07-12","Violencia familiar",-103.48459692093833,19.67663371625029,"LAS PRIMAVERAS","Zapotlán el Grande",23,"23:16","La familia","Interior","MUN023"
"2021-07-13","Violencia familiar",-103.51436414376838,19.624078767394593,"EL FRESNITO (LA MESA)","Zapotlán el Grande",23,"12:42","La familia","Interior","MUN023"
"2021-01-20","Violencia familiar",-103.45937571157823,19.71480247065811,"CIUDAD GUZMAN CENTRO","Zapotlán el Grande",23,"N.D.","La familia","Interior","MUN023"
"2021-07-28","Violencia familiar",-103.46241883350811,19.682413428726647,"BUGAMBILIAS","Zapotlán el Grande",23,"03:30","La familia","Interior","MUN023"
"2021-07-30","Violencia familiar",-103.46481154474311,19.70042518145963,"CIUDAD GUZMAN CENTRO","Zapotlán el Grande",23,"13:30","La familia","Interior","MUN023"
"2021-08-02","Violencia familiar",-103.45449159058442,19.696014493766413,"CAMICHINES","Zapotlán el Grande",23,"14:00","La familia","Interior","MUN023"
"2021-08-03","Violencia familiar",-103.41505913307607,19.629141163806384,"ZAPOTILTIC","Zapotiltic",121,"23:12","La familia","Interior","MUN121"
