"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-08-23","Robo a casa habitación",-103.271814,22.107607,"DEL CERRITO 2","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-08-29","Violencia familiar",-103.211105,22.358909,"CENTRO","Huejucar",41,"05:30","La familia","Interior"
"2017-08-07","Robo a negocio",-103.26151,22.115109,"ALTO","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-08-09","Robo a negocio",-103.271755,22.106641,"NUEVO TLAXCALA 2","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-08-10","Robo a negocio",-103.266643,22.112868,"CENTRO","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-08-07","Robo a casa habitación",-103.267014,22.107265,"DEL CERRITO","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-08-16","Violencia familiar",-103.278412,22.103561,"ACAPONETA","Colotlán",25,"05:30","La familia","Interior"
"2017-08-08","Lesiones dolosas",-103.781972,21.830602,"SAN MARCOS","Bolaños",19,"05:30","La vida y la integridad corporal","Interior"
"2017-08-24","Violencia familiar",-103.266308,22.116801,"CENTRO","Colotlán",25,"05:30","La familia","Interior"
"2017-08-24","Abuso sexual infantil",-103.247803,22.124684,"NO DISPONIBLE","Colotlán",25,"17:45","La libertad y la seguridad sexual","Interior"
"2017-08-21","Robo a casa habitación",-103.269132,22.10729,"DEL CERRITO 2","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-09-27","Lesiones dolosas",-103.88423,22.636313,"NO DISPONIBLE","Huejuquilla el Alto",42,"05:30","La vida y la integridad corporal","Interior"
"2017-09-13","Violencia familiar",-103.266309,22.129237,"LA CANTERA","Colotlán",25,"17:45","La familia","Interior"
"2017-09-08","Robo a negocio",-103.896758,22.625233,"CENTRO","Huejuquilla el Alto",42,"17:45","El patrimonio","Interior"
"2017-09-18","Violación",-103.264338,22.112538,"DE LA PIEDRA CHINA ORIENTE","Colotlán",25,"17:45","La libertad y la seguridad sexual","Interior"
"2017-09-08","Robo a casa habitación",-103.271585,22.113773,"CENTRO","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-09-04","Robo a casa habitación",-103.265168,22.108828,"DE LA PIEDRA CHINA ORIENTE","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-09-28","Robo a int de vehículos",-103.256421,22.112985,"LOMAS DE LA CRUZ","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-09-04","Violencia familiar",-103.810952,21.680924,"EMETERIO JIMENEZ","San Martín de Bolaños",76,"05:30","La familia","Interior"
"2017-09-04","Robo a casa habitación",-103.306964,22.008298,"NO DISPONIBLE","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-09-05","Violencia familiar",-103.774642,21.846036,"EL TEPEC","Bolaños",19,"17:45","La familia","Interior"
"2017-09-14","Violación",-104.109475,22.154632,"NO DISPONIBLE","Mezquitic",61,"05:30","La libertad y la seguridad sexual","Interior"
"2017-09-12","Robo a casa habitación",-103.26386,22.11408,"ALTO","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-09-25","Robo a casa habitación",-103.444858,21.927081,"LA CALZADA","Totatiche",104,"05:30","El patrimonio","Interior"
"2017-09-13","Robo a casa habitación",-103.256815,22.111647,"LOMAS DE LA CRUZ","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-09-19","Abuso sexual infantil",-103.267923,22.114617,"CENTRO","Colotlán",25,"17:45","La libertad y la seguridad sexual","Interior"
"2017-09-22","Robo a casa habitación",-103.265351,22.123477,"TOCHOPA","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-09-28","Robo a casa habitación",-103.271755,22.106641,"NUEVO TLAXCALA 2","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-10-21","Lesiones dolosas",-103.267784,22.106409,"DEL CERRITO 2","Colotlán",25,"17:45","La vida y la integridad corporal","Interior"
"2017-10-19","Lesiones dolosas",-103.26114,22.112859,"DE LA PIEDRA CHINA ORIENTE","Colotlán",25,"05:30","La vida y la integridad corporal","Interior"
"2017-10-19","Violencia familiar",-103.268973,22.120605,"TOCHOPA","Colotlán",25,"17:45","La familia","Interior"
"2017-10-26","Robo a casa habitación",-103.269505,22.112273,"CENTRO","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-10-25","Abuso sexual infantil",-104.240859,22.188791,"TANANA","Mezquitic",61,"17:45","La libertad y la seguridad sexual","Interior"
"2017-10-09","Lesiones dolosas",-103.77988,21.780583,"SAN PASCUAL","Chimaltitán",31,"05:30","La vida y la integridad corporal","Interior"
"2017-10-01","Robo a casa habitación",-103.913117,22.616864,"NO DISPONIBLE","Huejuquilla el Alto",42,"05:30","El patrimonio","Interior"
"2017-10-25","Robo a casa habitación",-103.592956,21.983887,"CENTRO","Villa Guerrero",115,"05:30","El patrimonio","Interior"
"2017-10-30","Violencia familiar",-103.258713,22.113508,"LOMAS DE LA CRUZ","Colotlán",25,"05:30","La familia","Interior"
"2017-10-09","Violencia familiar",-104.058922,22.260194,"NO DISPONIBLE","Mezquitic",61,"05:30","La familia","Interior"
"2017-10-22","Robo a casa habitación",-103.252019,22.1027,"LAS GOLONDRINAS","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-10-14","Lesiones dolosas",-103.593419,21.982032,"PLACITA","Villa Guerrero",115,"05:30","La vida y la integridad corporal","Interior"
"2017-10-03","Violencia familiar",-103.276696,22.105423,"ACAPONETA","Colotlán",25,"05:30","La familia","Interior"
"2017-10-13","Robo a casa habitación",-103.257484,22.114554,"LOMAS DE LA CRUZ","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-10-23","Lesiones dolosas",-103.248014,22.141691,"SANTIAGO TLALTELOLCO","Colotlán",25,"05:30","La vida y la integridad corporal","Interior"
"2017-10-23","Robo a casa habitación",-103.264183,22.029134,"NO DISPONIBLE","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-10-11","Violación",-103.267923,22.114617,"CENTRO","Colotlán",25,"05:30","La libertad y la seguridad sexual","Interior"
"2017-10-08","Robo a casa habitación",-103.271238,22.114939,"CENTRO","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-10-11","Robo a casa habitación",-103.265655,22.128463,"LA CANTERA","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-10-18","Robo a casa habitación",-103.170638,22.273773,"TLALCOSAHUA","Huejucar",41,"05:30","El patrimonio","Interior"
"2017-10-11","Robo a casa habitación",-103.27274,22.108952,"DE LA PIEDRA CHINA","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-10-25","Lesiones dolosas",-104.321135,22.069624,"NO DISPONIBLE","Mezquitic",61,"05:30","La vida y la integridad corporal","Interior"
"2017-10-02","Robo a vehículos particulares",-103.276696,22.105423,"ACAPONETA","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-11-14","Abuso sexual infantil",-103.594888,21.984509,"CENTRO","Villa Guerrero",115,"17:45","La libertad y la seguridad sexual","Interior"
"2017-11-28","Lesiones dolosas",-103.898665,22.632514,"LOS LAURELES","Huejuquilla el Alto",42,"05:30","La vida y la integridad corporal","Interior"
"2017-11-21","Lesiones dolosas",-103.884236,22.667147,"NO DISPONIBLE","Huejuquilla el Alto",42,"05:30","La vida y la integridad corporal","Interior"
"2017-11-01","Lesiones dolosas",-103.26786800000001,22.102518,"NUEVO TLAXCALA 2","Colotlán",25,"05:30","La vida y la integridad corporal","Interior"
"2017-11-27","Robo a negocio",-103.268708,22.112138,"CENTRO","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-11-08","Violencia familiar",-103.266643,22.112868,"CENTRO","Colotlán",25,"05:30","La familia","Interior"
"2017-11-09","Violencia familiar",-103.639149,21.624404,"TEPIZUA","Chimaltitán",31,"17:45","La familia","Interior"
"2017-11-07","Lesiones dolosas",-103.726993,22.388108,"CENTRO","Mezquitic",61,"05:30","La vida y la integridad corporal","Interior"
"2017-11-24","Lesiones dolosas",-103.16472,22.294421,"NO DISPONIBLE","Huejucar",41,"17:45","La vida y la integridad corporal","Interior"
"2017-11-22","Robo a persona",-103.267482,22.116143,"CENTRO","Colotlán",25,"05:30","El patrimonio","Interior"
"2017-11-08","Violencia familiar",-103.221353,22.175362,"CENTRO","Santa María de los Angeles",81,"05:30","La familia","Interior"
"2017-11-09","Abuso sexual infantil",-103.264466,22.110249,"DE LA PIEDRA CHINA ORIENTE","Colotlán",25,"17:45","La libertad y la seguridad sexual","Interior"
"2017-11-16","Robo a negocio",-103.267082,22.114513,"CENTRO","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-11-29","Violencia familiar",-103.728482,22.389217,"CENTRO","Mezquitic",61,"17:45","La familia","Interior"
"2017-11-03","Abuso sexual infantil",-104.017797,21.874016,"TUXPAN DE BOLAÑOS","Bolaños",19,"17:45","La libertad y la seguridad sexual","Interior"
"2017-11-08","Lesiones dolosas",-103.89775,22.63044,"LOS SAUCES","Huejuquilla el Alto",42,"05:30","La vida y la integridad corporal","Interior"
"2017-11-08","Lesiones dolosas",-103.81649,21.681332,"BLANCO","San Martín de Bolaños",76,"17:45","La vida y la integridad corporal","Interior"
"2017-11-03","Lesiones dolosas",-103.267901,22.114655,"CENTRO","Colotlán",25,"17:45","La vida y la integridad corporal","Interior"
"2017-11-27","Lesiones dolosas",-103.59425,21.984387,"CENTRO","Villa Guerrero",115,"05:30","La vida y la integridad corporal","Interior"
"2017-11-21","Violación",-103.733172,22.396059,"NO DISPONIBLE","Mezquitic",61,"05:30","La libertad y la seguridad sexual","Interior"
"2017-12-08","Robo a casa habitación",-103.267503,22.112969,"CENTRO","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-12-28","Lesiones dolosas",-103.784701,21.758384,"NO DISPONIBLE","Chimaltitán",31,"17:45","La vida y la integridad corporal","Interior"
"2017-12-12","Robo a casa habitación",-103.26151,22.115109,"ALTO","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-12-12","Lesiones dolosas",-104.127922,21.793874,"NO DISPONIBLE","Bolaños",19,"05:30","La vida y la integridad corporal","Interior"
"2017-12-21","Robo a casa habitación",-103.261661,22.114493,"ALTO","Colotlán",25,"17:45","El patrimonio","Interior"
"2017-12-06","Violencia familiar",-103.265102,22.115068,"CENTRO","Colotlán",25,"17:45","La familia","Interior"
"2017-12-26","Robo a casa habitación",-103.220597,22.182034,"LINDA VISTA","Santa María de los Angeles",81,"17:45","El patrimonio","Interior"
"2017-12-26","Lesiones dolosas",-103.126133,22.04858,"EL CARRIZAL","Colotlán",25,"05:30","La vida y la integridad corporal","Interior"
"2017-12-21","Lesiones dolosas",-103.2278,22.186022,"DE TAPIAS","Santa María de los Angeles",81,"05:30","La vida y la integridad corporal","Interior"
"2017-12-13","Lesiones dolosas",-103.871089,21.594384,"NO DISPONIBLE","San Martín de Bolaños",76,"05:30","La vida y la integridad corporal","Interior"
"2017-12-27","Lesiones dolosas",-103.169208,22.271911,"TLALCOSAHUA","Huejucar",41,"17:45","La vida y la integridad corporal","Interior"
"2017-12-20","Violencia familiar",-103.267025,22.108448,"DEL CERRITO","Colotlán",25,"05:30","La familia","Interior"
"2017-12-22","Homicidio doloso",-103.594753,21.978935,"NUEVO","Villa Guerrero",115,"17:45","La vida y la integridad corporal","Interior"
"2017-12-05","Abuso sexual infantil",-104.01946,21.970752,"NO DISPONIBLE","Mezquitic",61,"05:30","La libertad y la seguridad sexual","Interior"
"2018-02-12","Abuso sexual infantil",-103.2653232,22.1249355,"LOMAS DE LA ARBOLEDA","Colotlán",25,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-02-28","Abuso sexual infantil",-103.234762,22.38884655,"NO DISPONIBLE","Huejucar",41,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-03-02","Abuso sexual infantil",-103.27111,22.11074499,"DE LA PIEDRA CHINA","Colotlán",25,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-03-08","Abuso sexual infantil",-103.6001176,21.97777741,"ESTANCO","Villa Guerrero",115,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-04-04","Abuso sexual infantil",-104.2408591,22.18879137,"TANANA","Mezquitic",61,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-04-12","Abuso sexual infantil",-103.7350227,22.04132858,"NO DISPONIBLE","Villa Guerrero",115,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-04-19","Abuso sexual infantil",-103.1794703,22.17607712,"NO DISPONIBLE","Santa María de los Angeles",81,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-04-23","Abuso sexual infantil",-103.2636812,22.11986132,"CHIHUAHUA","Colotlán",25,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-05-23","Abuso sexual infantil",-103.2563414,22.11223872,"LOMAS DE LA CRUZ","Colotlán",25,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-06-06","Abuso sexual infantil",-103.5216125,21.97638978,"EL VERDE","Totatiche",104,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-06-09","Abuso sexual infantil",-103.7411368,22.11826865,"NO DISPONIBLE","Villa Guerrero",115,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-07-10","Abuso sexual infantil",-103.5927015,21.97965329,"NUEVO","Villa Guerrero",115,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-08-06","Abuso sexual infantil",-103.2452941,22.0102435,"NO DISPONIBLE","Colotlán",25,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-08-28","Abuso sexual infantil",-103.2118783,22.36088818,"CENTRO","Huejucar",41,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-09-06","Abuso sexual infantil",-103.213849,22.360618,"ATECONGO","Huejucar",41,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-10-15","Abuso sexual infantil",-103.8169091,21.68073063,"BARRIO GUADALUPANO","San Martín de Bolaños",76,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-11-05","Abuso sexual infantil",-103.2715372,22.10964936,"DE LA PIEDRA CHINA","Colotlán",25,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-12-05","Abuso sexual infantil",-104.2408591,22.18879137,"TANANA","Mezquitic",61,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-12-30","Abuso sexual infantil",-103.7277154,22.38854674,"CENTRO","Mezquitic",61,"N.D.","La libertad y la seguridad sexual","Interior"
"2018-07-07","Feminicidio",-103.8977504,22.63044021,"LOS SAUCES","Huejuquilla el Alto",42,"N.D.","La vida y la integridad corporal","Interior"
"2018-01-12","Homicidio doloso",-103.8127637,21.51757624,"NO DISPONIBLE","San Martín de Bolaños",76,"N.D.","La vida y la integridad corporal","Interior"
"2018-01-18","Homicidio doloso",-103.4368742,21.93131851,"SEMINARIO","Totatiche",104,"N.D.","La vida y la integridad corporal","Interior"
"2018-01-29","Homicidio doloso",-103.1711401,22.26749275,"NO DISPONIBLE","Huejucar",41,"N.D.","La vida y la integridad corporal","Interior"
"2018-02-11","Homicidio doloso",-103.792725,21.73846555,"NO DISPONIBLE","Chimaltitán",31,"N.D.","La vida y la integridad corporal","Interior"
"2018-05-19","Homicidio doloso",-103.2553049,22.11369157,"LOMAS DE LA CRUZ","Colotlán",25,"N.D.","La vida y la integridad corporal","Interior"
"2018-06-13","Homicidio doloso",-103.7817061,21.81163503,"NO DISPONIBLE","Bolaños",19,"N.D.","La vida y la integridad corporal","Interior"
"2018-06-23","Homicidio doloso",-103.7739994,21.84469445,"EL TEPEC","Bolaños",19,"N.D.","La vida y la integridad corporal","Interior"
"2018-07-22","Homicidio doloso",-103.9144989,22.61465317,"NO DISPONIBLE","Huejuquilla el Alto",42,"N.D.","La vida y la integridad corporal","Interior"
